phase,model_seed,candidate,N_streams,candidate_total_byte_cap,candidate_amortized_bytes,candidate_stream_bytes,candidate_shared_bytes,family_size,feasible_baseline_count,feasible_baselines,native_fp32_feasible,baseline_selection_scope,tie_rule,comparison_scope,additional_complete_call_timing,candidate_source_sha256,candidate_empirical_T05,best_TEST_empirical_T05_baseline,best_TEST_empirical_T05,best_TEST_empirical_T05_total_bytes,best_TEST_empirical_T05_source_sha256,candidate_empirical_T05_status,best_TEST_empirical_T05_status,candidate_supported_T05,best_TEST_supported_T05_baseline,best_TEST_supported_T05,best_TEST_supported_T05_total_bytes,best_TEST_supported_T05_source_sha256,candidate_supported_T05_status,best_TEST_supported_T05_status,candidate_empirical_T01,best_TEST_empirical_T01_baseline,best_TEST_empirical_T01,best_TEST_empirical_T01_total_bytes,best_TEST_empirical_T01_source_sha256,candidate_empirical_T01_status,best_TEST_empirical_T01_status,candidate_supported_T01,best_TEST_supported_T01_baseline,best_TEST_supported_T01,best_TEST_supported_T01_total_bytes,best_TEST_supported_T01_source_sha256,candidate_supported_T01_status,best_TEST_supported_T01_status,candidate_rmst,best_TEST_rmst_baseline,best_TEST_rmst,best_TEST_rmst_total_bytes,best_TEST_rmst_source_sha256,candidate_final_survival,best_TEST_final_survival_baseline,best_TEST_final_survival,best_TEST_final_survival_total_bytes,best_TEST_final_survival_source_sha256
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_4,1,33110,33110.0,3176,29934,630,14,MIXED_4_8;MIXED_4_8_TOP2;MIXED_4_8_TOP5;MIXED_6_8;MIXED_6_8_TOP1;MIXED_6_8_TOP4;STOCHASTIC_4;UNIFORM_2;UNIFORM_3;UNIFORM_4;UNIFORM_5;UNIFORM_6;UNIFORM_7;UNIFORM_8,False,"best feasible on the reused TEST sample; not DEV-selected, independent confirmation, or a superiority test","maximize the named metric, then RMST; minimize total bytes, then arm name lexicographically",lower-bound or point-estimate ordering does not establish statistical superiority,NOT_MEASURED,537b202c3648be90fd40b31ffd0e34c37a1a2d334b1e849c83974007c2ccada3,128,MIXED_6_8_TOP4,128,32583,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,64,MIXED_6_8_TOP4,64,32583,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,simultaneous confidence-supported lower bound >= 64,simultaneous confidence-supported lower bound >= 64,64,MIXED_6_8_TOP4,64,32583,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,,,,,,no qualifying grid horizon (<32); not a measured zero horizon,no qualifying grid horizon (<32); not a measured zero horizon,282.251953125,MIXED_6_8_TOP4,283.775390625,32583,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,0.0,MIXED_6_8_TOP4,0.0,32583,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_4,16,80750,5046.875,3176,29934,630,14,MIXED_4_8;MIXED_4_8_TOP2;MIXED_4_8_TOP5;MIXED_6_8;MIXED_6_8_TOP1;MIXED_6_8_TOP4;STOCHASTIC_4;UNIFORM_2;UNIFORM_3;UNIFORM_4;UNIFORM_5;UNIFORM_6;UNIFORM_7;UNIFORM_8,False,"best feasible on the reused TEST sample; not DEV-selected, independent confirmation, or a superiority test","maximize the named metric, then RMST; minimize total bytes, then arm name lexicographically",lower-bound or point-estimate ordering does not establish statistical superiority,NOT_MEASURED,537b202c3648be90fd40b31ffd0e34c37a1a2d334b1e849c83974007c2ccada3,128,MIXED_6_8_TOP4,128,70863,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,64,MIXED_6_8_TOP4,64,70863,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,simultaneous confidence-supported lower bound >= 64,simultaneous confidence-supported lower bound >= 64,64,MIXED_6_8_TOP4,64,70863,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,,,,,,no qualifying grid horizon (<32); not a measured zero horizon,no qualifying grid horizon (<32); not a measured zero horizon,282.251953125,MIXED_6_8_TOP4,283.775390625,70863,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,0.0,MIXED_6_8_TOP4,0.0,70863,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_4,128,436462,3409.859375,3176,29934,630,14,MIXED_4_8;MIXED_4_8_TOP2;MIXED_4_8_TOP5;MIXED_6_8;MIXED_6_8_TOP1;MIXED_6_8_TOP4;STOCHASTIC_4;UNIFORM_2;UNIFORM_3;UNIFORM_4;UNIFORM_5;UNIFORM_6;UNIFORM_7;UNIFORM_8,False,"best feasible on the reused TEST sample; not DEV-selected, independent confirmation, or a superiority test","maximize the named metric, then RMST; minimize total bytes, then arm name lexicographically",lower-bound or point-estimate ordering does not establish statistical superiority,NOT_MEASURED,537b202c3648be90fd40b31ffd0e34c37a1a2d334b1e849c83974007c2ccada3,128,MIXED_6_8_TOP4,128,356687,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,64,MIXED_6_8_TOP4,64,356687,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,simultaneous confidence-supported lower bound >= 64,simultaneous confidence-supported lower bound >= 64,64,MIXED_6_8_TOP4,64,356687,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,,,,,,no qualifying grid horizon (<32); not a measured zero horizon,no qualifying grid horizon (<32); not a measured zero horizon,282.251953125,MIXED_6_8_TOP4,283.775390625,356687,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,0.0,MIXED_6_8_TOP4,0.0,356687,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_8,1,34646,34646.0,4712,29934,630,18,MIXED_4_8;MIXED_4_8_TOP2;MIXED_4_8_TOP5;MIXED_6_8;MIXED_6_8_TOP1;MIXED_6_8_TOP4;STOCHASTIC_4;UNIFORM_10;UNIFORM_11;UNIFORM_12;UNIFORM_2;UNIFORM_3;UNIFORM_4;UNIFORM_5;UNIFORM_6;UNIFORM_7;UNIFORM_8;UNIFORM_9,False,"best feasible on the reused TEST sample; not DEV-selected, independent confirmation, or a superiority test","maximize the named metric, then RMST; minimize total bytes, then arm name lexicographically",lower-bound or point-estimate ordering does not establish statistical superiority,NOT_MEASURED,7dc2ba425acb8da10fddf533ac89609dbb43e348e2e81afe0976dce2a0c29777,128,UNIFORM_9,128,33138,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,64,UNIFORM_9,64,33138,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,simultaneous confidence-supported lower bound >= 64,simultaneous confidence-supported lower bound >= 64,64,UNIFORM_9,64,33138,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,,,,,,no qualifying grid horizon (<32); not a measured zero horizon,no qualifying grid horizon (<32); not a measured zero horizon,282.884765625,UNIFORM_9,284.83203125,33138,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,0.0,UNIFORM_9,0.0,33138,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_8,16,105326,6582.875,4712,29934,630,18,MIXED_4_8;MIXED_4_8_TOP2;MIXED_4_8_TOP5;MIXED_6_8;MIXED_6_8_TOP1;MIXED_6_8_TOP4;STOCHASTIC_4;UNIFORM_10;UNIFORM_11;UNIFORM_12;UNIFORM_2;UNIFORM_3;UNIFORM_4;UNIFORM_5;UNIFORM_6;UNIFORM_7;UNIFORM_8;UNIFORM_9,False,"best feasible on the reused TEST sample; not DEV-selected, independent confirmation, or a superiority test","maximize the named metric, then RMST; minimize total bytes, then arm name lexicographically",lower-bound or point-estimate ordering does not establish statistical superiority,NOT_MEASURED,7dc2ba425acb8da10fddf533ac89609dbb43e348e2e81afe0976dce2a0c29777,128,UNIFORM_9,128,85818,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,64,UNIFORM_9,64,85818,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,simultaneous confidence-supported lower bound >= 64,simultaneous confidence-supported lower bound >= 64,64,UNIFORM_9,64,85818,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,,,,,,no qualifying grid horizon (<32); not a measured zero horizon,no qualifying grid horizon (<32); not a measured zero horizon,282.884765625,UNIFORM_9,284.83203125,85818,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,0.0,UNIFORM_9,0.0,85818,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_8,128,633070,4945.859375,4712,29934,630,18,MIXED_4_8;MIXED_4_8_TOP2;MIXED_4_8_TOP5;MIXED_6_8;MIXED_6_8_TOP1;MIXED_6_8_TOP4;STOCHASTIC_4;UNIFORM_10;UNIFORM_11;UNIFORM_12;UNIFORM_2;UNIFORM_3;UNIFORM_4;UNIFORM_5;UNIFORM_6;UNIFORM_7;UNIFORM_8;UNIFORM_9,False,"best feasible on the reused TEST sample; not DEV-selected, independent confirmation, or a superiority test","maximize the named metric, then RMST; minimize total bytes, then arm name lexicographically",lower-bound or point-estimate ordering does not establish statistical superiority,NOT_MEASURED,7dc2ba425acb8da10fddf533ac89609dbb43e348e2e81afe0976dce2a0c29777,128,UNIFORM_9,128,479162,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,64,UNIFORM_9,64,479162,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,simultaneous confidence-supported lower bound >= 64,simultaneous confidence-supported lower bound >= 64,64,UNIFORM_9,64,479162,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,,,,,,no qualifying grid horizon (<32); not a measured zero horizon,no qualifying grid horizon (<32); not a measured zero horizon,282.884765625,UNIFORM_9,284.83203125,479162,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,0.0,UNIFORM_9,0.0,479162,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_FP32,1,43598,43598.0,13880,29718,630,23,MIXED_4_8;MIXED_4_8_TOP2;MIXED_4_8_TOP5;MIXED_6_8;MIXED_6_8_TOP1;MIXED_6_8_TOP4;NATIVE_FP32;STOCHASTIC_4;UNIFORM_10;UNIFORM_11;UNIFORM_12;UNIFORM_13;UNIFORM_14;UNIFORM_15;UNIFORM_16;UNIFORM_2;UNIFORM_3;UNIFORM_4;UNIFORM_5;UNIFORM_6;UNIFORM_7;UNIFORM_8;UNIFORM_9,True,"best feasible on the reused TEST sample; not DEV-selected, independent confirmation, or a superiority test","maximize the named metric, then RMST; minimize total bytes, then arm name lexicographically",lower-bound or point-estimate ordering does not establish statistical superiority,NOT_MEASURED,defcee98fa50a477fb5125234c0e04b9966f450c9b3f18a9245ae991abd882cd,128,UNIFORM_9,128,33138,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,64,UNIFORM_9,64,33138,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,simultaneous confidence-supported lower bound >= 64,simultaneous confidence-supported lower bound >= 64,64,UNIFORM_9,64,33138,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,,,,,,no qualifying grid horizon (<32); not a measured zero horizon,no qualifying grid horizon (<32); not a measured zero horizon,283.099609375,UNIFORM_9,284.83203125,33138,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,0.0,UNIFORM_9,0.0,33138,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_FP32,16,251798,15737.375,13880,29718,630,23,MIXED_4_8;MIXED_4_8_TOP2;MIXED_4_8_TOP5;MIXED_6_8;MIXED_6_8_TOP1;MIXED_6_8_TOP4;NATIVE_FP32;STOCHASTIC_4;UNIFORM_10;UNIFORM_11;UNIFORM_12;UNIFORM_13;UNIFORM_14;UNIFORM_15;UNIFORM_16;UNIFORM_2;UNIFORM_3;UNIFORM_4;UNIFORM_5;UNIFORM_6;UNIFORM_7;UNIFORM_8;UNIFORM_9,True,"best feasible on the reused TEST sample; not DEV-selected, independent confirmation, or a superiority test","maximize the named metric, then RMST; minimize total bytes, then arm name lexicographically",lower-bound or point-estimate ordering does not establish statistical superiority,NOT_MEASURED,defcee98fa50a477fb5125234c0e04b9966f450c9b3f18a9245ae991abd882cd,128,UNIFORM_9,128,85818,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,64,UNIFORM_9,64,85818,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,simultaneous confidence-supported lower bound >= 64,simultaneous confidence-supported lower bound >= 64,64,UNIFORM_9,64,85818,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,,,,,,no qualifying grid horizon (<32); not a measured zero horizon,no qualifying grid horizon (<32); not a measured zero horizon,283.099609375,UNIFORM_9,284.83203125,85818,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,0.0,UNIFORM_9,0.0,85818,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_FP32,128,1806358,14112.171875,13880,29718,630,23,MIXED_4_8;MIXED_4_8_TOP2;MIXED_4_8_TOP5;MIXED_6_8;MIXED_6_8_TOP1;MIXED_6_8_TOP4;NATIVE_FP32;STOCHASTIC_4;UNIFORM_10;UNIFORM_11;UNIFORM_12;UNIFORM_13;UNIFORM_14;UNIFORM_15;UNIFORM_16;UNIFORM_2;UNIFORM_3;UNIFORM_4;UNIFORM_5;UNIFORM_6;UNIFORM_7;UNIFORM_8;UNIFORM_9,True,"best feasible on the reused TEST sample; not DEV-selected, independent confirmation, or a superiority test","maximize the named metric, then RMST; minimize total bytes, then arm name lexicographically",lower-bound or point-estimate ordering does not establish statistical superiority,NOT_MEASURED,defcee98fa50a477fb5125234c0e04b9966f450c9b3f18a9245ae991abd882cd,128,UNIFORM_9,128,479162,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,64,UNIFORM_9,64,479162,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,simultaneous confidence-supported lower bound >= 64,simultaneous confidence-supported lower bound >= 64,64,UNIFORM_9,64,479162,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,,,,,,no qualifying grid horizon (<32); not a measured zero horizon,no qualifying grid horizon (<32); not a measured zero horizon,283.099609375,UNIFORM_9,284.83203125,479162,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,0.0,UNIFORM_9,0.0,479162,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R1,1,32539,32539.0,1832,30707,630,11,MIXED_4_8;MIXED_4_8_TOP2;MIXED_4_8_TOP5;MIXED_6_8_TOP1;STOCHASTIC_4;UNIFORM_2;UNIFORM_3;UNIFORM_4;UNIFORM_5;UNIFORM_6;UNIFORM_7,False,"best feasible on the reused TEST sample; not DEV-selected, independent confirmation, or a superiority test","maximize the named metric, then RMST; minimize total bytes, then arm name lexicographically",lower-bound or point-estimate ordering does not establish statistical superiority,NOT_MEASURED,dd673747124ad02ce1ee701bafd79ec3eaab23ea1a17670dca4a75d5cd48a023,64,UNIFORM_7,128,32370,51d3ab72117ce923eb5d3ddf30d904222c8d4da963492883dc9f6b30eae29058,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,64,UNIFORM_7,64,32370,51d3ab72117ce923eb5d3ddf30d904222c8d4da963492883dc9f6b30eae29058,simultaneous confidence-supported lower bound >= 64,simultaneous confidence-supported lower bound >= 64,64,UNIFORM_7,64,32370,51d3ab72117ce923eb5d3ddf30d904222c8d4da963492883dc9f6b30eae29058,largest qualifying empirical sample grid horizon,largest qualifying empirical sample grid horizon,,,,,,no qualifying grid horizon (<32); not a measured zero horizon,no qualifying grid horizon (<32); not a measured zero horizon,202.091796875,UNIFORM_7,282.333984375,32370,51d3ab72117ce923eb5d3ddf30d904222c8d4da963492883dc9f6b30eae29058,0.0,UNIFORM_7,0.0,32370,51d3ab72117ce923eb5d3ddf30d904222c8d4da963492883dc9f6b30eae29058
